,timestamp,observed,predicted,threshold,norm_threshold,alertable,baseline,model_relative_error
66,1770996600,2611141979,2507425027,2371559857,2473458734,False,780822536,0.03972091630180941
67,1770998400,2621320833,2508989108,2292367298,2454833655,False,780822536,0.04285310046212111
68,1771000200,2691025520,2521686209,2285178469,2462559274,False,780822536,0.06292742664142405
69,1771002000,2737132916,2615996644,2349010664,2549250149,False,780822536,0.04425662754332972
70,1771003800,2823894791,2692798433,2528960673,2651838993,False,780822536,0.04642395262664019
71,1771005600,2909652812,2767250326,2585027426,2721694601,False,780822536,0.04894140132895003
72,1771007400,2942714583,2945314348,2883127792,2929767709,False,780822536,0.000883458088330682
73,1771009200,2978750312,2881000152,2749485282,2848121435,False,780822536,0.03281582870716288
74,1771011000,3088052708,2902810660,2717393350,2856456332,False,780822536,0.05998668595264146
75,1771012800,3380141250,3026226597,2821596487,2975069070,False,780822536,0.10470410164072286
76,1771014600,3406824270,3211772223,3048988973,3171076410,False,780822536,0.05725333376235458
77,1771016400,3390944375,3280132118,3132712648,3243277251,False,780822536,0.03267887784210556
78,1771018200,3317961250,3230280868,3094415698,3196314575,False,780822536,0.0264259813160868
79,1771020000,3129990104,3148590660,2931968850,3094435208,False,780822536,0.0059426884373305995
80,1771021800,2928230208,3024863056,2788355316,2965736121,False,780822536,0.03300042726695346
81,1771023600,2586956458,2731789618,2464803638,2665043123,False,780822536,0.05598592877437599
82,1771025400,2246237395,2399376910,2235539150,2358417470,False,780822536,0.06817601529601461
83,1771027200,1866709166,2103015972,1920793072,2057460247,True,780822536,0.12659004964675896
84,1771029000,1576737187,1800349844,1738163288,1784803205,True,780822536,0.1418198662679223
85,1771030800,1360378437,1545943462,1414428592,1513064744,True,780822536,0.13640691439451272
86,1771032600,1190143541,1313263650,1127846340,1266909322,False,780822536,0.10344979807775977
87,1771034400,1069948750,1155021036,950390926,1103863509,False,780822536,0.07951061768145437
88,1771036200,991974270,1029449777,866666527,988753964,False,780822536,0.03777870871590248
